Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
50.00000000000004,0.02950525400179463,26.37898317988795,141.6615696569776
50.58178551658392,0.02516758867317725,26.46153901229112,139.2065070935754
51.17034052091395,-0.02245625833069275,26.21457284197503,138.0402382246918
51.76574378078856,0.007555295768128437,26.82688496660175,138.0550547774191
52.36807498052566,-0.03657012603379738,26.5216888523822,135.67081178919
52.97741473162665,-0.01726991070096348,26.73106154655256,132.3233268256418
53.59384458356501,-0.00656079022067889,26.84543739509074,130.5495697464239
54.21744703470027,-0.02642982540185975,27.04804388312267,130.719772199844
54.84830554331913,0.03895633762151557,27.52988301266146,127.4180507940851
55.48650453880454,-0.02745746620382072,27.33330060410169,126.9050262317132
56.13212943293539,-0.01819292170608571,27.43322647895117,123.2471722273437
56.78526663131721,-0.01582744833091178,27.58838090100646,121.262173686605
57.44600354494631,-0.01927191316513523,27.66069287587219,120.2712643316184
58.11442860190783,-0.006091283000877007,27.95950897130803,119.1405416741494
58.79063125921061,0.0005044387459189984,27.97208082331298,115.9050202171579
59.4747020147592,0.01528720310369565,28.18153676011351,114.7651260622932
60.16673241946579,0.005254390644327965,28.21080041643531,113.2959128759305
60.86681508950226,0.008690700812119015,28.30157760819842,111.4336102182631
61.5750437186955,0.02128849360831285,28.38947696493512,109.3879107768352
62.29151309106657,0.00995679302131222,28.4320277535363,107.4053145754642
63.01631909351613,0.003474587380542309,28.51056079554541,105.9049251227956
63.74955872865686,0.01018519457599008,28.54782175602988,103.9689807691425
64.49133012779579,0.002047165727804208,28.64007924139027,102.3358508698025
65.24173256406736,-0.002197129616554742,28.69336453766703,100.6570324564811
66.00086646571962,-0.0005263174937883005,28.75225977518916,98.92379193417634
66.76883342955449,0.007213268863399996,28.79751018255816,97.35784682268223
67.54573623452484,0.0189960905223186,28.84125008805979,95.62422459169665
68.33167885548968,0.005755346799586979,28.89353124570273,94.02441542823863
69.12676647712931,0.02498547736838659,28.91283102548046,92.29680816408838
69.93110550802272,0.007494437003955606,28.96917731639945,90.74425390030521
70.74480359488805,0.0123649460727048,28.98523768600832,89.1304731424425
71.56796963698962,0.01413607897246862,29.02039637960016,87.57832890411935
72.40071380071186,0.01513889714186798,29.04893869481852,86.13736162714247
73.24314753430366,-0.003558049691287629,29.0899281588916,84.61288838748303
74.09538358279315,0.0245688475168083,29.08937481195222,83.12257960413842
74.95753600307708,-0.005537033630938928,29.12980565195057,81.49270857495803
75.82972017918512,0.01507624432930753,29.13986458564041,80.1622761177476
76.71205283772221,0.007324551079507594,29.14915133814815,78.64405356362494
77.60465206349031,0.01196708049994622,29.16968018228564,77.26490039098695
78.50763731529172,0.01399216883185514,29.16738134170537,75.83447715574763
79.42112944191688,0.01043459502237168,29.18269489786278,74.51046603769453
80.3452506983177,0.02810757842502228,29.16614253864431,73.2086300413074
81.28012476196926,0.01963571554090297,29.17769571467215,71.81439822799013
82.22587674942217,0.009518231040747501,29.18662478466655,70.51378767226151
83.18263323304667,0.01115899795948838,29.17902359856832,69.18481076773446
84.15052225797261,0.01716520239316276,29.18837908501937,67.90900748666843
85.12967335922569,0.01712560129679346,29.17405466911941,66.5955950055463
86.12021757906398,0.02056789903317223,29.16164568537253,65.42758551593559
87.12228748451504,0.02119188669530469,29.16825964469453,64.17459038424747
88.13601718511801,0.003718980211139893,29.17099330350899,62.88575336765723
89.16154235087173,0.01801682544341466,29.15859235173785,61.79990288825456
90.19900023039207,0.01802998935898146,29.14171874670665,60.63214443611088
91.24852966927986,0.01207653055752078,29.14700702797204,59.43583842869355
92.31027112870311,0.01060408545326884,29.11832065005342,58.24255708417961
93.38436670419523,0.0201553902521455,29.11677597943081,57.18741514005262
94.47096014467242,0.0186711024766165,29.10066375813566,56.21522737081602
95.57019687167131,0.01517646505524878,29.08675126665042,55.08564628880097
96.68222399881148,0.01015527260935508,29.08421662335662,53.73563078448357
97.80719035148394,0.01168198446130368,29.03195637228897,52.88135929603718
98.94524648676908,0.02530216130340152,29.02990435486199,51.72851653598102
100.0965447135856,0.01243513198300375,29.0288697256844,50.74114266444708
101.2612391130747,0.002838951069114844,29.00439949327698,49.59595567178535
102.4394855592211,0.02120318843120464,28.95792979433805,48.9023783651807
103.6314417397143,0.00460411813414397,28.98189291192161,47.74620813710317
104.8372671770517,0.01399055452856632,28.94299442716217,47.01999639965407
106.0571232498886,0.02101664062435527,28.90486002461366,45.94420582256785
107.2911732146354,0.02439156776262504,28.90576034335228,45.02314693975295
108.5395822273066,0.01426293418990049,28.8881461972576,44.06006080407582
109.8025173656249,0.01128016023502411,28.85383291679289,43.2848539553226
111.0801476513803,0.002611619718944107,28.8245244728428,42.26782181951951
112.3726440730517,0.01962094852223365,28.79319984350062,41.32666124918297
113.6801796086904,0.02241459472321488,28.77635161476203,40.51370207159051
115.0029292490702,0.02884352545144228,28.75338844462098,39.77845946497746
116.3410700211068,0.01965060684237199,28.72988280828886,38.68923954601507
117.6947810115498,0.03007293426826805,28.70503165492511,37.95508270263364
119.0642433909504,0.006977632828847474,28.69265172347739,37.13060771831189
120.4496404379078,0.01485768788585768,28.65603516688896,36.2846735512837
121.8511575635981,0.01355371790457942,28.64862557897563,35.47955149928696
123.2689823365877,0.03678961323391292,28.60389029763217,34.8449817276129
124.7033045079368,0.01296594296429607,28.59509480558145,34.26589121972872
126.1543160365942,0.01316014752941905,28.61179202582869,33.07508117357543
127.6222111150869,0.001309572881578748,28.46449089185942,32.76449128615232
