Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
50.00000000000004,0.03837480621276068,19.43988422320258,141.901703876821
51.52052789556267,0.03730126109789034,19.87803193890735,137.0113959853617
53.08729589274894,0.03863946353442475,20.24068395183784,132.0398722952727
54.7017101788472,0.03745598064301959,20.59847572420032,127.1619559233078
56.3652197040856,0.03805237431390546,20.9003326692515,122.1435171981876
58.07931748207719,0.03788100932262356,21.17401392446567,117.3541286844776
59.84554192981186,0.03832020401064972,21.41791597551591,112.5264511116063
61.66547824839871,0.03770353215816565,21.61911105081126,107.839840917608
63.54075984579674,0.0379380347494524,21.78683265917222,103.2660198138312
65.47306980281235,0.03784164752198533,21.92851084432816,98.79344591391363
67.46414238367821,0.03751422234567479,22.04197611572743,94.45247022870389
69.51576459257005,0.03850816286188308,22.13077530237807,90.25037673704011
71.62977777745742,0.03846284396361339,22.19882249652503,86.18583165090374
73.80807928272888,0.03825334923496547,22.24728993518064,82.26552225862031
76.05262415207464,0.0378380131317019,22.27895373910835,78.4916891489583
78.36542688315397,0.03865455937492929,22.29499358287102,74.87166406661638
80.74856323562418,0.03801929388279149,22.29828798030574,71.37722977007527
83.20417209415159,0.0378750333064901,22.2911205551362,68.03143624180517
85.73445738807862,0.03807669637425279,22.27438194484357,64.81637801267574
88.34169006946853,0.03928856805534189,22.24836240502859,61.72532118359086
91.02821015130404,0.03849906574003713,22.21748223521377,58.76297655460411
93.79642880766797,0.0384210678729274,22.17702786165019,55.92619533774713
96.64883053779225,0.03843798416837627,22.1346564438467,53.19454470997084
99.58797539591654,0.03857671471157251,22.08696207629705,50.54751903573691
102.6165012889585,0.0376024452971268,22.03523857187947,48.03154531291113
105.7371263440565,0.03713633014134932,21.98359055762629,45.59779138566398
108.9526513481119,0.03775380433254519,21.92403333914883,43.26481868076624
112.2659622615181,0.03905463841630029,21.86550910455913,41.02131952823224
115.6800328083345,0.038375337113554,21.80305681199288,38.85575029738334
119.197927145228,0.03855860118584156,21.7407634025891,36.77862353394933
122.8228026115792,0.03875077341573692,21.67456333278236,34.77605960547817
126.5579125632209,0.03910670791711201,21.60839029562004,32.86502609868118
130.406609292352,0.03832163495756675,21.53801184735009,30.94647681818174
134.3723470362471,0.03946526950473671,21.48152479327172,29.26154132935419
138.4586850774639,0.03914242613044134,21.4177834329548,27.54393829554581
142.6692909383279,0.0391282259876089,21.31995118964356,25.78010366559939
147.0079436725651,0.03868384560995521,21.26829868514545,24.31781290428069
151.478537257034,0.03839881807178113,21.18384813787449,22.72635172035123
156.0850840866007,0.03920107139930198,21.14655496591702,21.13958151070947
160.831718575299,0.03870502067035366,21.07721352417711,19.73199700282895
165.7227008669994,0.03872521530387579,20.97578669621841,18.43245190749269
170.7624206589244,0.03866159701621594,20.92076162982634,17.149151808636
175.9554011414384,0.03956540126990363,20.84253397901512,15.78620488939245
181.3063030576478,0.03832726885324523,20.7830573343005,14.60079763984677
186.8199288864573,0.03871401480137654,20.72626769755937,13.42690865742353
192.5012271528351,0.03895898803590563,20.66204194108258,12.31737513561222
198.3552968691536,0.03902077811910245,20.60692316342767,11.26374657680947
204.3873921115966,0.03924650046898556,20.554787469432,10.22442925003718
210.6029267357363,0.03902222183547713,20.50611789228861,9.205107254434196
217.0074792355126,0.03926231145397359,20.45686291052382,8.21221687003947
223.6067977499791,0.03909901167686695,20.41272220962476,7.227433651432591
230.4068052223046,0.03839218465393848,20.37405323774794,6.210130644926053
237.4136047156641,0.03893702588279135,20.34752354525745,5.346408319334259
244.633484890789,0.03931418679280491,20.3131764247247,4.330185785582529
252.0729256500918,0.03882984530063742,20.27150890520126,3.455157769058147
259.7386039534329,0.04067134653702709,20.22740318961755,2.396008805824323
267.6373998107466,0.03797749750641964,20.18963211726521,1.47963770971954
275.7764024569083,0.03941738882728701,20.16586623753192,0.5914706918452453
284.162916714381,0.0389807910736452,20.11588539494694,-0.3200185459372982
292.8044695493541,0.0389415954190715,20.0828515920089,-1.212961929919246
301.7088168272583,0.03975340666683862,20.05045904515222,-2.100852133042423
310.8839502737191,0.0384105375449243,20.01798857483958,-2.960464793307395
320.338104647197,0.03919142742911968,19.98042356442667,-3.813417920893457
330.0797651297512,0.03940083825773918,19.94922870248607,-4.675978998207043
340.1176749425625,0.0384590513928879,19.91676837709397,-5.522480163778511
350.4608431930435,0.0388365977811929,19.87762825017595,-6.395226618931011
361.1185529605922,0.03893019945268353,19.85074641425928,-7.202198174302836
372.1003696282277,0.03819719489562824,19.8198326930169,-8.045409425149359
383.4161494676057,0.03998899038334843,19.78595468563039,-8.879839935269931
395.0760484850995,0.03861254994505374,19.76047712642526,-9.74322804797437
407.0905315369046,0.03917608209989646,19.73035211221389,-10.58576471259741
419.4703817213301,0.038563194378212,19.70250908454955,-11.3905078433848
432.2267100567219,0.03831654498111265,19.67199629751122,-12.25399308979538
445.3709654536918,0.03914076296934535,19.64422951769868,-13.07107484811029
458.914944990612,0.03835661607835134,19.61915063872621,-13.91790786739557
472.8708045015881,0.03997229116233587,19.59087267088719,-14.7803726404033
487.2510694864243,0.03897778495761432,19.56891900412557,-15.65208872989746
502.0686463523608,0.03973285219661372,19.54289351170257,-16.49706116611122
517.3368339976836,0.03858237274416725,19.5232955038847,-17.38531090574633
533.069335747594,0.03838811354538902,19.49676178116481,-18.25723556598003
549.2802716530592,0.03891992111544417,19.47335769439146,-19.17281387969203
565.984191163673,0.03881048922071398,19.45206885421469,-20.06135894204648
